rank,tier,score,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,deduct_ratio,ocf_to_profit,debt_ratio,goodwill_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,mktcap_yi,risk_notes,fail_reasons
4867,-,8.5,001212,中旗新材,47.38,4738,装修建材,0,-1.8,10.8,-7.6,-204.2,,,,14.8,0.0,-398.61,,,,0.0,4.96,95.2,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4868,-,8.5,001201,东瑞股份,10.86,1086,养殖业,0,-4.9,12.3,-7.5,-144.5,,,,46.7,0.0,-8.15,,,,0.0,0.92,28.0,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4869,-,8.5,000952,广济药业,5.42,542,化学制药,0,-47.2,26.6,-64.8,-37.0,,,,72.9,0.0,-4.70,,,,0.0,3.01,18.8,,亏损; 现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4870,-,8.5,000929,兰州黄河,8.75,875,非白酒,0,-20.6,22.4,-24.6,8.9,,,,38.3,0.0,-14.15,,,,0.0,4.66,16.3,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4871,-,8.5,000926,福星股份,1.91,191,房地产开发,0,-55.8,13.6,-107.6,-58.7,,,,72.2,0.0,-0.73,,,,0.0,0.58,30.4,,亏损; 现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4872,-,8.5,000925,众合科技,9.34,934,轨交设备Ⅱ,0,-1.9,28.7,-2.7,-355.6,,,,60.0,0.0,-138.88,,,,0.0,1.96,63.2,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4873,-,8.5,000911,*ST广糖,3.83,383,农产品加工,0,,9.7,-4.9,-1563.3,,,,99.8,0.0,-9.86,,,,0.0,-16.65,15.3,,ST/退市; 亏损; 现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4874,-,8.5,000877,天山股份,3.63,363,水泥,0,-9.2,17.9,-9.8,-916.4,,,,66.8,0.3,-3.54,,,,0.0,0.35,258.1,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4875,-,8.5,000876,新 希 望,6.27,627,养殖业,0,-8.8,6.3,-1.7,-476.8,,,,69.9,0.0,-9.03,,,,0.0,1.50,282.3,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4876,-,8.5,000868,安凯客车,3.26,326,商用车,0,-6.7,7.1,-1.6,-758.3,,,,80.3,0.0,-53.03,,,,0.0,3.82,30.6,,亏损; 现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
