rank,status,basic_status,enhanced_status,final_action,code,name,stock_code,stock_name,price,premium_rt,double_low,rating,remaining_scale,remaining_years,change_pct,maturity_date,convert_price,convert_value,stock_price,pb,turnover,risk_reasons,enhanced_reasons,maturity_redeem_price,maturity_yield_est,call_gap_pct,put_gap_pct,down_revision_gap_pct,has_conditional_resale,source
617,剔除,剔除,增强排除,排除,118017,深科转债,688328,深科达,,,,A+,3.6,-2.472,,2024-01-10 00:00:00,,,90.47,10.16,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
618,剔除,剔除,增强排除,排除,118019,金盘转债,688676,金盘科技,,,,AA,9.76702,-2.092,,2024-05-28 00:00:00,,,84.43,7.99,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,110.0,,,,,True,eastmoney_datacenter+quote_board
619,剔除,剔除,增强排除,排除,118021,新致转债,688590,新致软件,,,,A,4.8481,-0.268,,2026-03-25 00:00:00,,,12.99,2.28,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,112.0,,,,,True,eastmoney_datacenter+quote_board
620,剔除,剔除,增强排除,排除,118023,广大转债,688186,广大特材,,,,AA-,15.5,-0.849,,2025-08-25 00:00:00,,,15.76,0.93,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
621,剔除,剔除,增强排除,排除,118026,利元转债,688499,利元亨,,,,A+,9.5,-1.498,,2024-12-31 00:00:00,,,51.7,3.72,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,110.0,,,,,True,eastmoney_datacenter+quote_board
622,剔除,剔除,增强排除,排除,118028,会通转债,688219,会通股份,,,,AA-,8.3,-0.934,,2025-07-25 00:00:00,,,12.99,2.41,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
623,剔除,剔除,增强排除,排除,118029,富淼转债,688350,富淼科技,,,,A,4.5,-0.397,,2026-02-06 00:00:00,,,34.28,2.66,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,110.0,,,,,True,eastmoney_datacenter+quote_board
624,剔除,剔除,增强排除,排除,118033,华特转债,688268,华特气体,,,,AA-,6.46,-0.057,,2026-06-10 00:00:00,,,277.95,14.08,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
625,剔除,剔除,增强排除,排除,118038,金宏转债,688106,金宏气体,,,,AA-,10.16,-0.172,,2026-04-29 00:00:00,,,49.78,6.86,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
626,剔除,剔除,增强排除,排除,118041,星球转债,688633,星球石墨,,,,A+,6.2,-0.057,,2026-06-10 00:00:00,,,30.64,2.29,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,114.0,,,,,True,eastmoney_datacenter+quote_board
